"Nam","Nhom hang","1","2","3","4","5","6","7","8","9","10","11","12"
"2023","Chi so gia tieu dung",100.52,100.45,99.77,99.66,100.01,100.27,100.45,100.88,101.08,100.08,100.25,100.12
"2023","Chi so gia vang",100.51,100.92,99.44,102.04,101.02,99.36,99.97,100.64,100.94,100.92,102.77,103.98
"2023","Chi so do la My",97.95,100.20,100.47,99.11,99.89,100.14,100.53,100.57,101.53,101.20,100.05,99.44
"2022","Chi so gia tieu dung",100.19,101.00,100.70,100.18,100.38,100.69,100.40,100.00,100.40,100.15,100.39,99.99
"2022","Chi so gia vang",101.08,101.85,104.51,100.73,99.48,98.86,97.61,99.10,98.29,100.50,101.82,100.45
"2022","Chi so do la My",99.68,99.72,100.64,100.07,100.65,100.72,100.62,100.18,100.53,101.84,102.91,97.40
"2021","Chi so gia tieu dung",100.06,101.52,99.73,99.96,100.16,100.19,100.62,100.25,99.38,99.80,100.32,99.82
"2021","Chi so gia vang",102.17,100.25,97.03,98.10,101.68,101.12,98.61,99.51,100.00,99.79,102.65,100.25
"2021","Chi so do la My",99.84,99.83,100.23,100.29,99.79,99.70,100.09,99.56,99.52,99.94,99.79,100.84
"2020","Chi so gia tieu dung",101.23,99.83,99.28,98.46,99.97,100.66,100.40,100.07,100.12,100.09,99.99,100.10
"2020","Chi so gia vang",104.37,102.74,103.87,100.69,102.41,101.71,103.49,109.86,99.67,98.90,100.87,99.17
"2020","Chi so do la My",100.02,100.32,100.17,100.95,99.59,99.42,99.77,99.93,99.95,100.07,99.95,99.77
"2019","Chi so gia tieu dung",100.10,100.80,99.79,100.31,100.49,99.91,100.18,100.28,100.32,100.59,100.96,101.40
"2019","Chi so gia vang",102.25,101.53,99.51,99.50,99.50,101.98,104.79,104.61,103.25,99.43,99.37,99.64
"2019","Chi so do la My",99.60,99.91,100.05,99.98,100.45,100.30,99.50,99.83,99.89,100.03,99.87,99.81
"2018","Chi so gia tieu dung",100.51,100.73,99.73,100.08,100.55,100.61,99.91,100.45,100.59,100.33,99.71,99.75
"2018","Chi so gia vang",101.69,101.83,99.65,100.47,99.25,99.21,98.43,98.59,99.03,100.12,100.98,100.41
"2018","Chi so do la My",99.96,99.99,100.27,100.10,99.94,100.20,100.84,101.12,100.16,100.20,99.97,99.93
"2017","Chi so gia tieu dung",100.46,100.23,100.21,100.00,99.47,99.83,100.11,100.92,100.59,100.41,100.13,100.21
"2017","Chi so gia vang",99.82,102.45,99.72,101.01,99.90,100.25,99.12,101.11,102.61,99.12,99.70,99.88
"2017","Chi so do la My",99.93,99.93,100.41,99.72,99.97,99.93,100.09,99.97,100.03,99.97,99.99,100.02
"2016","Chi so gia tieu dung",100.00,100.42,100.57,100.33,100.54,100.46,100.13,100.10,100.54,100.83,100.48,100.23
"2016","Chi so gia vang",99.77,103.02,104.87,100.30,101.45,99.99,105.36,101.72,99.64,98.31,98.88,97.48
"2016","Chi so do la My",100.18,99.36,99.62,100.05,99.90,100.09,99.79,99.95,100.07,100.07,100.22,101.52
"2015","Chi so gia tieu dung",99.80,99.95,100.15,100.14,100.16,100.35,100.13,99.93,99.79,100.11,100.07,100.02
"2015","Chi so gia vang",100.55,102.70,98.37,98.96,99.73,99.92,98.76,96.08,103.54,99.95,99.39,97.20
"2015","Chi so do la My",100.23,99.80,100.16,100.74,100.36,100.62,100.09,100.31,102.71,99.84,99.69,100.69
"2014","Chi so gia tieu dung",100.69,100.55,99.56,100.08,100.20,100.30,100.23,100.22,100.40,100.11,99.73,99.76
"2014","Chi so gia vang",98.18,101.87,103.31,98.96,99.15,99.88,101.38,99.66,98.34,97.18,98.51,99.95
"2014","Chi so do la My",99.94,99.97,100.02,99.94,99.96,100.49,100.36,99.74,99.85,100.18,100.23,100.35
"2013","Chi so gia tieu dung",101.25,101.32,99.81,100.02,99.94,100.05,100.27,100.83,101.06,100.49,100.34,100.51
"2013","Chi so gia vang",98.27,99.67,97.27,97.44,95.38,95.89,93.72,100.32,101.97,97.13,98.96,96.67
"2013","Chi so do la My",99.92,100.03,100.41,100.01,100.21,100.26,100.68,100.06,99.74,99.82,99.90,100.05
