Chỉ tiêu,Date,Value
Dầu thô,Tháng 1/2013,100.0
Dầu thô,Tháng 2/2013,73.56
Dầu thô,Tháng 3/2013,95.77
Dầu thô,Tháng 4/2013,80.51
Dầu thô,Tháng 5/2013,96.98
Dầu thô,Tháng 6/2013,102.27
Dầu thô,Tháng 7/2013,90.48
Dầu thô,Tháng 8/2013,97.13
Dầu thô,Tháng 9/2013,69.94
Dầu thô,Tháng 10/2013,99.85
Dầu thô,Tháng 11/2013,109.97
Dầu thô,Tháng 12/2013,92.3
Dầu thô,Tháng 1/2014,76.28
Dầu thô,Tháng 2/2014,90.63
Dầu thô,Tháng 3/2014,95.17
Dầu thô,Tháng 4/2014,112.08
Dầu thô,Tháng 5/2014,116.31
Dầu thô,Tháng 6/2014,108.46
Dầu thô,Tháng 7/2014,110.42
Dầu thô,Tháng 8/2014,105.44
Dầu thô,Tháng 9/2014,67.98
Dầu thô,Tháng 10/2014,78.4
Dầu thô,Tháng 11/2014,65.71
Dầu thô,Tháng 12/2014,62.54
Dầu thô,Tháng 1/2015,45.92
Dầu thô,Tháng 2/2015,45.32
Dầu thô,Tháng 3/2015,40.03
Dầu thô,Tháng 4/2015,80.97
Dầu thô,Tháng 5/2015,37.16
Dầu thô,Tháng 6/2015,56.8
Dầu thô,Tháng 7/2015,46.83
Dầu thô,Tháng 8/2015,42.3
Dầu thô,Tháng 9/2015,46.83
Dầu thô,Tháng 10/2015,41.69
Dầu thô,Tháng 11/2015,40.79
Dầu thô,Tháng 12/2015,48.94
Dầu thô,Tháng 1/2016,21.9
Dầu thô,Tháng 2/2016,19.34
Dầu thô,Tháng 3/2016,23.26
Dầu thô,Tháng 4/2016,27.19
Dầu thô,Tháng 5/2016,30.21
Dầu thô,Tháng 6/2016,32.18
Dầu thô,Tháng 7/2016,35.2
Dầu thô,Tháng 8/2016,24.77
Dầu thô,Tháng 9/2016,27.95
Dầu thô,Tháng 10/2016,40.03
Dầu thô,Tháng 11/2016,27.19
Dầu thô,Tháng 12/2016,32.93
Dầu thô,Tháng 1/2017,28.85
Dầu thô,Tháng 2/2017,33.99
Dầu thô,Tháng 3/2017,31.72
Dầu thô,Tháng 4/2017,44.71
Dầu thô,Tháng 5/2017,32.48
Dầu thô,Tháng 6/2017,60.42
Dầu thô,Tháng 7/2017,39.27
Dầu thô,Tháng 8/2017,25.68
Dầu thô,Tháng 9/2017,43.81
Dầu thô,Tháng 10/2017,28.7
Dầu thô,Tháng 11/2017,29.61
Dầu thô,Tháng 12/2017,45.32
Dầu thô,Tháng 1/2018,28.85
Dầu thô,Tháng 2/2018,28.7
Dầu thô,Tháng 3/2018,21.6
Dầu thô,Tháng 4/2018,22.21
Dầu thô,Tháng 5/2018,40.79
Dầu thô,Tháng 6/2018,24.92
Dầu thô,Tháng 7/2018,38.07
Dầu thô,Tháng 8/2018,37.76
Dầu thô,Tháng 9/2018,31.72
Dầu thô,Tháng 10/2018,26.13
Dầu thô,Tháng 11/2018,31.72
Dầu thô,Tháng 12/2018,34.74
Dầu thô,Tháng 1/2019,27.19
Dầu thô,Tháng 2/2019,63.44
Dầu thô,Tháng 3/2019,25.68
Dầu thô,Tháng 4/2019,27.19
Dầu thô,Tháng 5/2019,28.7
Dầu thô,Tháng 6/2019,21.6
Dầu thô,Tháng 7/2019,31.12
Dầu thô,Tháng 8/2019,24.62
Dầu thô,Tháng 9/2019,18.13
Dầu thô,Tháng 10/2019,33.23
Dầu thô,Tháng 11/2019,23.26
Dầu thô,Tháng 12/2019,27.19
Dầu thô,Tháng 1/2020,28.25
Dầu thô,Tháng 2/2020,32.18
Dầu thô,Tháng 3/2020,21.3
Dầu thô,Tháng 4/2020,23.26
Dầu thô,Tháng 5/2020,16.62
Dầu thô,Tháng 6/2020,17.67
Dầu thô,Tháng 7/2020,16.47
Dầu thô,Tháng 8/2020,30.21
Dầu thô,Tháng 9/2020,31.72
Dầu thô,Tháng 10/2020,20.39
Dầu thô,Tháng 11/2020,14.35
Dầu thô,Tháng 12/2020,16.01
Dầu thô,Tháng 1/2021,20.39
Dầu thô,Tháng 2/2021,8.01
Dầu thô,Tháng 3/2021,24.02
Dầu thô,Tháng 4/2021,15.41
Dầu thô,Tháng 5/2021,21.75
Dầu thô,Tháng 6/2021,17.67
Dầu thô,Tháng 7/2021,9.06
Dầu thô,Tháng 8/2021,9.52
Dầu thô,Tháng 9/2021,19.94
Dầu thô,Tháng 10/2021,32.18
Dầu thô,Tháng 11/2021,36.25
Dầu thô,Tháng 12/2021,15.26
Dầu thô,Tháng 1/2022,17.07
Dầu thô,Tháng 2/2022,29.91
Dầu thô,Tháng 3/2022,43.05
Dầu thô,Tháng 4/2022,47.58
Dầu thô,Tháng 5/2022,40.18
Dầu thô,Tháng 6/2022,45.17
Dầu thô,Tháng 7/2022,58.61
Dầu thô,Tháng 8/2022,51.96
Dầu thô,Tháng 9/2022,25.68
Dầu thô,Tháng 10/2022,17.52
Dầu thô,Tháng 11/2022,37.31
Dầu thô,Tháng 12/2022,35.35
Dầu thô,Tháng 1/2023,21.0
Dầu thô,Tháng 2/2023,30.66
Dầu thô,Tháng 3/2023,37.01
Dầu thô,Tháng 4/2023,18.58
Dầu thô,Tháng 5/2023,32.48
Dầu thô,Tháng 6/2023,14.8
Dầu thô,Tháng 7/2023,33.84
