"Nhom hang","Gia tri","Thang/Nam"
"Chi so gia tieu dung","100.52","2023-01-01"
"Chi so gia vang","100.51","2023-01-01"
"Chi so do la My","97.95","2023-01-01"
"Chi so gia tieu dung","100.19","2022-01-01"
"Chi so gia vang","101.08","2022-01-01"
"Chi so do la My","99.68","2022-01-01"
"Chi so gia tieu dung","100.06","2021-01-01"
"Chi so gia vang","102.17","2021-01-01"
"Chi so do la My","99.84","2021-01-01"
"Chi so gia tieu dung","101.23","2020-01-01"
"Chi so gia vang","104.37","2020-01-01"
"Chi so do la My","100.02","2020-01-01"
"Chi so gia tieu dung","100.1","2019-01-01"
"Chi so gia vang","102.25","2019-01-01"
"Chi so do la My","99.6","2019-01-01"
"Chi so gia tieu dung","100.51","2018-01-01"
"Chi so gia vang","101.69","2018-01-01"
"Chi so do la My","99.96","2018-01-01"
"Chi so gia tieu dung","100.46","2017-01-01"
"Chi so gia vang","99.82","2017-01-01"
"Chi so do la My","99.93","2017-01-01"
"Chi so gia tieu dung","100","2016-01-01"
"Chi so gia vang","99.77","2016-01-01"
"Chi so do la My","100.18","2016-01-01"
"Chi so gia tieu dung","99.8","2015-01-01"
"Chi so gia vang","100.55","2015-01-01"
"Chi so do la My","100.23","2015-01-01"
"Chi so gia tieu dung","100.69","2014-01-01"
"Chi so gia vang","98.18","2014-01-01"
"Chi so do la My","99.94","2014-01-01"
"Chi so gia tieu dung","101.25","2013-01-01"
"Chi so gia vang","98.27","2013-01-01"
"Chi so do la My","99.92","2013-01-01"
"Chi so gia tieu dung","100.45","2023-02-01"
"Chi so gia vang","100.92","2023-02-01"
"Chi so do la My","100.2","2023-02-01"
"Chi so gia tieu dung","101","2022-02-01"
"Chi so gia vang","101.85","2022-02-01"
"Chi so do la My","99.72","2022-02-01"
"Chi so gia tieu dung","101.52","2021-02-01"
"Chi so gia vang","100.25","2021-02-01"
"Chi so do la My","99.83","2021-02-01"
"Chi so gia tieu dung","99.83","2020-02-01"
"Chi so gia vang","102.74","2020-02-01"
"Chi so do la My","100.32","2020-02-01"
"Chi so gia tieu dung","100.8","2019-02-01"
"Chi so gia vang","101.53","2019-02-01"
"Chi so do la My","99.91","2019-02-01"
"Chi so gia tieu dung","100.73","2018-02-01"
"Chi so gia vang","101.83","2018-02-01"
"Chi so do la My","99.99","2018-02-01"
"Chi so gia tieu dung","100.23","2017-02-01"
"Chi so gia vang","102.45","2017-02-01"
"Chi so do la My","99.93","2017-02-01"
"Chi so gia tieu dung","100.42","2016-02-01"
"Chi so gia vang","103.02","2016-02-01"
"Chi so do la My","99.36","2016-02-01"
"Chi so gia tieu dung","99.95","2015-02-01"
"Chi so gia vang","102.7","2015-02-01"
"Chi so do la My","99.8","2015-02-01"
"Chi so gia tieu dung","100.55","2014-02-01"
"Chi so gia vang","101.87","2014-02-01"
"Chi so do la My","99.97","2014-02-01"
"Chi so gia tieu dung","101.32","2013-02-01"
"Chi so gia vang","99.67","2013-02-01"
"Chi so do la My","100.03","2013-02-01"
"Chi so gia tieu dung","99.77","2023-03-01"
"Chi so gia vang","99.44","2023-03-01"
"Chi so do la My","100.47","2023-03-01"
"Chi so gia tieu dung","100.7","2022-03-01"
"Chi so gia vang","104.51","2022-03-01"
"Chi so do la My","100.64","2022-03-01"
"Chi so gia tieu dung","99.73","2021-03-01"
"Chi so gia vang","97.03","2021-03-01"
"Chi so do la My","100.23","2021-03-01"
"Chi so gia tieu dung","99.28","2020-03-01"
"Chi so gia vang","103.87","2020-03-01"
"Chi so do la My","100.17","2020-03-01"
"Chi so gia tieu dung","99.79","2019-03-01"
"Chi so gia vang","99.51","2019-03-01"
"Chi so do la My","100.05","2019-03-01"
"Chi so gia tieu dung","99.73","2018-03-01"
"Chi so gia vang","99.65","2018-03-01"
"Chi so do la My","100.27","2018-03-01"
"Chi so gia tieu dung","100.21","2017-03-01"
"Chi so gia vang","99.72","2017-03-01"
"Chi so do la My","100.41","2017-03-01"
"Chi so gia tieu dung","100.57","2016-03-01"
"Chi so gia vang","104.87","2016-03-01"
"Chi so do la My","99.62","2016-03-01"
"Chi so gia tieu dung","100.15","2015-03-01"
"Chi so gia vang","98.37","2015-03-01"
"Chi so do la My","100.16","2015-03-01"
"Chi so gia tieu dung","99.56","2014-03-01"
"Chi so gia vang","103.31","2014-03-01"
"Chi so do la My","100.02","2014-03-01"
"Chi so gia tieu dung","99.81","2013-03-01"
"Chi so gia vang","97.27","2013-03-01"
"Chi so do la My","100.41","2013-03-01"
"Chi so gia tieu dung","99.66","2023-04-01"
"Chi so gia vang","102.04","2023-04-01"
"Chi so do la My","99.11","2023-04-01"
"Chi so gia tieu dung","100.18","2022-04-01"
"Chi so gia vang","100.73","2022-04-01"
"Chi so do la My","100.07","2022-04-01"
"Chi so gia tieu dung","99.96","2021-04-01"
"Chi so gia vang","98.1","2021-04-01"
"Chi so do la My","100.29","2021-04-01"
"Chi so gia tieu dung","98.46","2020-04-01"
"Chi so gia vang","100.69","2020-04-01"
"Chi so do la My","100.95","2020-04-01"
"Chi so gia tieu dung","100.31","2019-04-01"
"Chi so gia vang","99.5","2019-04-01"
"Chi so do la My","99.98","2019-04-01"
"Chi so gia tieu dung","100.08","2018-04-01"
"Chi so gia vang","100.47","2018-04-01"
"Chi so do la My","100.1","2018-04-01"
"Chi so gia tieu dung","100","2017-04-01"
"Chi so gia vang","101.01","2017-04-01"
"Chi so do la My","99.72","2017-04-01"
"Chi so gia tieu dung","100.33","2016-04-01"
"Chi so gia vang","100.3","2016-04-01"
"Chi so do la My","100.05","2016-04-01"
"Chi so gia tieu dung","100.14","2015-04-01"
"Chi so gia vang","98.96","2015-04-01"
"Chi so do la My","100.74","2015-04-01"
"Chi so gia tieu dung","100.08","2014-04-01"
"Chi so gia vang","98.96","2014-04-01"
"Chi so do la My","99.94","2014-04-01"
"Chi so gia tieu dung","100.02","2013-04-01"
"Chi so gia vang","97.44","2013-04-01"
"Chi so do la My","100.01","2013-04-01"
"Chi so gia tieu dung","100.01","2023-05-01"
"Chi so gia vang","101.02","2023-05-01"
"Chi so do la My","99.89","2023-05-01"
"Chi so gia tieu dung","100.38","2022-05-01"
"Chi so gia vang","99.48","2022-05-01"
"Chi so do la My","100.65","2022-05-01"
"Chi so gia tieu dung","100.16","2021-05-01"
"Chi so gia vang","101.68","2021-05-01"
"Chi so do la My","99.79","2021-05-01"
"Chi so gia tieu dung","99.97","2020-05-01"
"Chi so gia vang","102.41","2020-05-01"
"Chi so do la My","99.59","2020-05-01"
"Chi so gia tieu dung","100.49","2019-05-01"
"Chi so gia vang","99.5","2019-05-01"
"Chi so do la My","100.45","2019-05-01"
"Chi so gia tieu dung","100.55","2018-05-01"
"Chi so gia vang","99.25","2018-05-01"
"Chi so do la My","99.94","2018-05-01"
"Chi so gia tieu dung","99.47","2017-05-01"
"Chi so gia vang","99.9","2017-05-01"
"Chi so do la My","99.97","2017-05-01"
"Chi so gia tieu dung","100.54","2016-05-01"
"Chi so gia vang","101.45","2016-05-01"
"Chi so do la My","99.9","2016-05-01"
